place_or_organization,roster_home,municipal_operator,community,match_status,match_method
County of Elgin — Terrace Lodge,Terrace Lodge,County of Elgin,Aylmer,matched,exact_name
Sun Parlor Home for Senior Citizens (Ont.),Sun Parlor Home for Senior Citizens,County of Essex,Leamington,matched,exact_name
County of Grey — Grey Gables,Grey Gables Home for the Aged,County of Grey,Markdale,matched,fuzzy_review
County of Grey — Lee Manor,Lee Manor Home,County of Grey,Owen Sound,matched,fuzzy_review
County of Grey — Rockwood Terrace,Rockwood Terrace,County of Grey,Durham,matched,exact_name
County of Huron — Huronlea Home for the Aged,Huronlea Home for the Aged,County of Huron,Brussels,matched,exact_name
County of Huron — Huronview Home for the Aged,Huronview Home for the Aged,County of Huron,Clinton,matched,exact_name
County of Lambton — Lambton Meadowview Villa,Lambton Meadowview Villa,County of Lambton,Petrolia,matched,exact_name
County of Lambton — Marshall Gowland Manor,Marshall Gowland Manor,County of Lambton,Sarnia,matched,exact_name
County of Lambton — North Lambton Lodge,North Lambton Lodge,County of Lambton,Forest,matched,exact_name
Lanark Lodge (Ont.),Lanark Lodge,County of Lanark,Perth,matched,exact_name
Maple View Lodge (Ont.),Maple View Lodge,United Counties of Leeds and Grenville,Athens,matched,exact_name
The John M. Parrott Centre (Ont.),The John M. Parrott Centre,County of Lennox and Addington,Napanee,matched,exact_name
Strathmere Lodge (Ont.),Strathmere Lodge,County of Middlesex,Strathroy,matched,exact_name
Golden Plough Lodge (Ont.),Golden Plough Lodge,County of Northumberland,Cobourg,matched,exact_name
Woodingford Lodge — Ingersoll,Woodingford Lodge - Ingersoll,County of Oxford,Ingersoll,matched,exact_name
Woodingford Lodge — Tillsonburg,Woodingford Lodge - Tillsonburg,County of Oxford,Tillsonburg,matched,exact_name
Woodingford Lodge — Woodstock,Woodingford Lodge - Woodstock,County of Oxford,Woodstock,matched,exact_name
Spruce Lodge Municipal Home for the Aged (Ont.),Spruce Lodge,County of Perth City of Stratford and Town of St. Marys,Stratford,matched,fuzzy_review
Prescott & Russell Residence (Ont.),The Prescott and Russell Residence,United Counties of Prescott and Russell,Hawkesbury,matched,fuzzy_review
County of Renfrew — Bonnechere Manor,Bonnechere Manor,County of Renfrew,Renfrew,matched,exact_name
County of Renfrew — Miramichi Lodge,Miramichi Lodge,County of Renfrew,Pembroke,matched,exact_name
County of Simcoe — Georgian Manor,Georgian Manor,County of Simcoe,Penetanguishene,matched,exact_name
County of Simcoe — Simcoe Manor Home for the Aged,Simcoe Manor Home for the Aged,County of Simcoe,Beeton,matched,exact_name
County of Simcoe — Sunset Manor Home for Senior Citizens,Sunset Manor Home for Senior Citizens,County of Simcoe,Collingwood,matched,exact_name
County of Simcoe — Trillium Manor Home for the Aged,Trillium Manor Home for the Aged,County of Simcoe,Orillia,matched,exact_name
Wellington Terrace Long Term Care Home (Ont.),Wellington Terrace Long-Term Care Home,County of Wellington,Fergus,matched,exact_name
The Pines Long Term Care Residence (Ont.),The Pines,The District Municipality of Muskoka,Bracebridge,matched,fuzzy_review
Fairvern (Ont.),Fairvern,The District Municipality of Muskoka,Huntsville,matched,exact_name
Haliburton Highlands Health Services — Haliburton (Ont.),Highland Wood,County of Haliburton,Haliburton,matched,manual_verified_name
